Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-07-31,NEPSE,2142.31,2195.35,2142.3,2195.1,2.55 %,"4,609,971,271.66"
2022-07-29,NEPSE,2130.32,2147.63,2117.31,2140.39,0.61 %,"2,191,619,914.28"
2022-07-28,NEPSE,2113.35,2156.39,2105.7,2127.42,0.73 %,"4,976,433,105.03"
2022-07-27,NEPSE,2089.01,2112.11,2065.96,2111.99,1.14 %,"3,161,455,141.99"
2022-07-26,NEPSE,2134.14,2141.61,2085.83,2088.16,-2.10 %,"3,704,998,398.24"
2022-07-25,NEPSE,2081.98,2134.62,2081.65,2132.96,2.62 %,"4,106,818,941.37"
2022-07-24,NEPSE,2027.8,2078.51,2027.66,2078.51,3.03 %,"2,730,937,196.52"
2022-07-22,NEPSE,2046.62,2047.29,2013.46,2017.46,-1.33 %,"1,443,432,770.47"
2022-07-21,NEPSE,2052.95,2066.07,2038.33,2044.72,-0.29 %,"1,642,648,586.50"
2022-07-20,NEPSE,2046.21,2061.56,2033.28,2050.59,0.24 %,"1,731,832,270.05"
2022-07-19,NEPSE,2029.71,2062.36,2028.17,2045.63,0.80 %,"2,299,316,326.29"
2022-07-18,NEPSE,2011.71,2029.46,2000.14,2029.43,0.90 %,"1,312,962,959.62"
2022-07-17,NEPSE,2010.92,2018.97,1994.75,2011.39,0.10 %,"1,232,488,082.72"
2022-07-15,NEPSE,2002.96,2009.89,1989.19,2009.46,0.40 %,"1,456,259,832.87"
2022-07-14,NEPSE,1987.32,2012.16,1977.14,2001.53,0.74 %,"2,411,834,599.35"
2022-07-13,NEPSE,1928.5,1986.82,1928.5,1986.82,3.09 %,"2,044,443,007.47"
2022-07-12,NEPSE,1916.41,1947.54,1908.59,1927.28,0.61 %,"1,707,752,977.83"
2022-07-11,NEPSE,1993.33,1993.55,1912.49,1915.61,-3.86 %,"2,325,641,022.26"
2022-07-08,NEPSE,2031.87,2033.4,1988.43,1992.61,-1.71 %,"1,168,451,395.02"
2022-07-07,NEPSE,2051.5,2080.96,2023.01,2027.32,-0.81 %,"1,806,204,764.99"
2022-07-06,NEPSE,2036.46,2047.37,1994.54,2043.92,0.66 %,"2,178,655,700.71"
2022-07-05,NEPSE,2078.63,2091.88,2025.57,2030.59,-2.22 %,"2,968,485,223.95"
2022-07-04,NEPSE,2095.62,2148.61,2059.0,2076.67,-0.47 %,"4,349,273,593.21"
2022-07-03,NEPSE,2028.79,2086.38,2020.96,2086.38,2.84 %,"2,480,473,998.90"
2022-07-01,NEPSE,2041.94,2053.98,2015.56,2028.77,-0.44 %,"1,459,312,015.14"
